draw,regimen,exposure,censored,final,rank
0,SAC,12.014,0.0,0.7224489795918367,4
0,Eupatilin,10.908,0.0,1.5020408163265306,2
0,20(S)-Rg3,11.375,0.0,0.15306122448979592,3
0,Curcumin,23.006,0.0,1.1387755102040817,8
0,SAC+Eupatilin,12.416,0.0,0.0,5
0,Eupatilin+Rg3,14.066,0.0,0.0,6
0,SAC+Rg3+Curcumin,19.159,0.0,0.0,7
0,Gemcitabine,9.88,1.0,0.0,1
1,SAC,8.723,0.0,1.603448275862069,2
1,Eupatilin,10.025,0.0,1.5019157088122606,3
1,20(S)-Rg3,10.746,0.0,0.8697318007662835,5
1,Curcumin,10.138,0.0,3.007662835249042,4
1,SAC+Eupatilin,18.748,0.0,1.4272030651340997,6
1,Eupatilin+Rg3,20.772,0.0,2.4846743295019156,7
1,SAC+Rg3+Curcumin,29.607,0.0,1.8352490421455938,8
1,Gemcitabine,25.285,1.0,0.0,1
2,SAC,8.913,0.0,0.8766859344894027,5
2,Eupatilin,4.156,0.0,0.0,2
2,20(S)-Rg3,6.638,0.0,0.0,3
2,Curcumin,9.109,0.0,0.1348747591522158,6
2,SAC+Eupatilin,13.265,0.0,0.1811175337186898,7
2,Eupatilin+Rg3,8.83,0.0,0.0,4
2,SAC+Rg3+Curcumin,16.141,0.0,0.0,8
2,Gemcitabine,10.673,1.0,0.0,1
3,SAC,13.53,0.0,2.0386965376782076,5
3,Eupatilin,8.583,0.0,3.144602851323829,4
3,20(S)-Rg3,7.47,0.0,0.0,2
3,Curcumin,8.298,0.0,0.6028513238289206,3
3,SAC+Eupatilin,22.114,0.0,0.9592668024439919,8
3,Eupatilin+Rg3,19.766,0.0,0.5336048879837068,7
3,SAC+Rg3+Curcumin,14.247,0.0,0.0,6
3,Gemcitabine,24.148,1.0,0.0,1
4,SAC,6.0,0.0,0.693446088794926,3
4,Eupatilin,19.416,0.0,2.9323467230443976,7
4,20(S)-Rg3,4.441,0.0,0.28752642706131076,2
4,Curcumin,10.668,0.0,1.668076109936575,4
4,SAC+Eupatilin,24.505,0.0,0.693446088794926,8
4,Eupatilin+Rg3,18.098,0.0,0.09090909090909091,6
4,SAC+Rg3+Curcumin,11.307,0.0,0.0,5
4,Gemcitabine,15.623,1.0,0.0,1
5,SAC,10.733,0.0,0.2546583850931677,3
5,Eupatilin,11.659,0.0,1.134575569358178,4
5,20(S)-Rg3,6.534,0.0,0.13664596273291926,2
5,Curcumin,12.905,0.0,1.05175983436853,5
5,SAC+Eupatilin,20.817,0.0,0.2484472049689441,7
5,Eupatilin+Rg3,18.088,0.0,0.5072463768115942,6
