regimen,type,censored_frac,exposure_med,exposure_lo,exposure_hi,final_med,final_lo,final_hi,resistant_med,rank_med,rank_lo,rank_hi,top3_frac
Untreated,none,0.0,0.0,0.0,0.0,1.506469880825223,0.45808967254791516,3.586089508387501,0.028499999999999998,6.0,5.0,6.274999999999999,0.0
Curcumin,natural,0.0,7.9750000000000005,3.85875,14.709999999999999,0.17149241351695338,0.0,0.8734251600649442,0.0,8.0,7.0,9.0,0.0
Garlic,natural,0.9333333333333333,3.4,2.9225000000000003,4.09125,0.0,0.0,0.35073275620813815,0.0,1.0,1.0,6.0,0.9333333333333333
Mugwort,natural,0.0,7.6,6.69,11.02,0.0,0.0,0.3862639659553989,0.0,9.0,8.0,9.0,0.0
Wild ginseng,natural,0.03333333333333333,5.4,4.404375,7.514999999999999,0.0,0.0,0.4063151074324888,0.0,7.0,5.625,8.274999999999999,0.03333333333333333
Garlic+Mugwort,natural,1.0,7.35,6.62625,8.115,0.0,0.0,0.044778569023359,0.0,3.0,2.0,4.0,0.9333333333333333
Gin+Gar+Mug,natural,1.0,8.325,7.30125,9.410625,0.0,0.0,0.2527895286396177,0.0,4.0,3.0,4.274999999999999,0.1
Cur+Gar+Rg3,natural,1.0,6.125,5.32875,6.873125,0.0,0.0,0.20496254681647835,0.0,2.0,1.0,2.2749999999999986,1.0
Danshen+Astra,natural,0.0,37.5,15.45,37.5,1.229283498759305,0.0,2.018703630042134,0.0205,10.0,10.0,10.0,0.0
Gemcitabine (cont.),conventional,1.0,127.5,127.5,127.5,0.0,0.0,0.0,0.0,5.0,4.0,5.274999999999999,0.0
