ri,seed,censored,ttp,exposure,final,resistant,rank
0,1,False,5.0,0.0,1.2911547911547911,0.07,6.0
0,2,False,5.5,0.0,1.2774694783573808,0.017,6.0
0,3,False,4.5,0.0,1.3775,0.011,6.0
0,4,False,5.0,0.0,0.9832935560859188,0.019,6.0
0,5,False,5.0,0.0,1.718045112781955,0.037,6.0
0,6,False,5.5,0.0,1.602203182374541,0.137,6.0
0,7,False,6.0,0.0,1.7225,0.014,6.0
0,8,False,5.5,0.0,0.5447852760736196,0.005,6.0
0,9,False,5.5,0.0,1.7941534713763703,0.02,5.0
0,10,False,5.0,0.0,1.064327485380117,0.031,6.0
0,11,False,6.0,0.0,2.148014440433213,0.027,6.0
0,12,False,6.0,0.0,1.6433566433566433,0.026,6.0
0,13,False,5.5,0.0,1.9976047904191616,0.038,6.0
0,14,False,5.5,0.0,0.8198895027624309,0.081,6.0
0,15,False,6.0,0.0,1.082392776523702,0.011,6.0
0,16,False,6.0,0.0,0.22952853598014888,0.011,6.0
0,17,False,5.5,0.0,0.5700712589073634,0.033,6.0
0,18,False,5.0,0.0,3.185185185185185,0.026,6.0
0,19,False,4.5,0.0,0.9634300126103404,0.026,6.0
0,20,False,5.5,0.0,3.5347137637028014,0.03,6.0
0,21,False,5.5,0.0,1.410736579275905,0.05,6.0
0,22,False,5.5,0.0,2.7942477876106193,0.024,6.0
0,23,False,5.5,0.0,1.6539408866995073,0.038,6.0
0,24,False,6.0,0.0,1.2686390532544378,0.126,7.0
0,25,False,4.5,0.0,0.9021065675340768,0.023,6.0
0,26,False,5.0,0.0,1.9367245657568237,0.049,6.0
0,27,False,6.0,0.0,1.6670644391408114,0.052,6.0
0,28,False,4.5,0.0,3.7215346534653464,0.042,6.0
0,29,False,5.5,0.0,1.769879518072289,0.052,6.0
0,30,False,5.5,0.0,1.33375,0.018,5.0
1,1,False,5.5,4.55,0.0,0.0,8.0
1,2,False,5.5,11.45,0.4716981132075472,0.089,9.0
1,3,False,5.0,3.9,0.0,0.0,7.0
1,4,False,5.0,14.6,0.6515513126491647,0.0,9.0
1,5,False,5.5,8.05,0.19047619047619047,0.0,9.0
1,6,False,5.5,4.0,0.0,0.0,7.0
1,7,False,5.5,9.3,0.1675,0.0,8.0
1,8,False,5.5,8.4,0.16932515337423312,0.007,8.0
1,9,False,5.5,6.65,0.001218026796589525,0.0,8.0
1,10,False,5.5,4.9,0.07602339181286549,0.0,7.0
1,11,False,6.0,8.05,0.43200962695547535,0.011,9.0
1,12,False,6.5,7.9,0.17365967365967366,0.0,8.0
1,13,False,5.5,6.3,0.04431137724550898,0.0,8.0
1,14,False,5.5,10.95,0.5657458563535912,0.004,9.0
1,15,False,6.5,6.95,0.2708803611738149,0.0,8.0
1,16,False,5.5,3.75,0.0,0.0,7.0
1,17,False,5.5,9.8,0.18052256532066507,0.02,9.0
1,18,False,5.0,11.9,0.7049382716049383,0.011,9.0
1,19,False,4.0,10.4,0.21437578814627994,0.065,9.0
1,20,False,5.5,9.45,0.28867235079171744,0.046,9.0
1,21,False,5.5,10.25,0.264669163545568,0.066,9.0
1,22,False,5.5,9.1,0.04092920353982301,0.0,8.0
1,23,False,5.5,11.85,0.4815270935960591,0.092,9.0
1,24,False,6.0,5.0,0.16568047337278108,0.0,8.0
1,25,False,4.5,4.15,0.0,0.0,7.0
1,26,False,5.0,15.0,1.317617866004963,0.022,9.0
1,27,False,6.0,5.75,0.477326968973747,0.035,8.0
1,28,False,5.0,5.4,0.0,0.0,7.0
1,29,False,6.0,4.05,0.0,0.0,7.0
1,30,False,5.5,5.3,0.0,0.0,7.0
2,1,True,150.0,3.55,0.0,0.0,1.0
2,2,True,150.0,3.8,0.01553829078801332,0.0,1.0
2,3,True,150.0,2.95,0.0,0.0,1.0
2,4,True,150.0,3.4,0.0,0.0,1.0
