kind,geom,arm,seed,final,spread
opt,contained,Cytotoxic,1,1.5596899224806202,
opt,contained,Cytotoxic,2,1.3728813559322033,
opt,contained,Cytotoxic,3,0.8586626139817629,
opt,contained,Cytotoxic,4,1.9800613496932515,
opt,contained,Cytotoxic,5,1.3480314960629922,
opt,contained,Anti-fibrotic,1,2.5984496124031007,
opt,contained,Anti-fibrotic,2,3.690677966101695,
opt,contained,Anti-fibrotic,3,3.022796352583587,
opt,contained,Anti-fibrotic,4,3.125766871165644,
opt,contained,Anti-fibrotic,5,2.858267716535433,
opt,contained,Immune,1,0.018604651162790697,
opt,contained,Immune,2,1.4985875706214689,
opt,contained,Immune,3,0.4194528875379939,
opt,contained,Immune,4,0.7837423312883436,
opt,contained,Immune,5,0.9275590551181102,
opt,contained,Cyto+Anti-fibrotic,1,0.6403100775193798,
opt,contained,Cyto+Anti-fibrotic,2,1.7203389830508475,
opt,contained,Cyto+Anti-fibrotic,3,0.4194528875379939,
opt,contained,Cyto+Anti-fibrotic,4,2.196319018404908,
opt,contained,Cyto+Anti-fibrotic,5,1.036220472440945,
opt,contained,Cyto+Immune,1,0.0,
opt,contained,Cyto+Immune,2,0.0,
opt,contained,Cyto+Immune,3,0.0,
opt,contained,Cyto+Immune,4,0.0,
opt,contained,Cyto+Immune,5,0.33858267716535434,
opt,diffuse,Cytotoxic,1,0.9105180533751962,
opt,diffuse,Cytotoxic,2,0.33848314606741575,
opt,diffuse,Cytotoxic,3,0.0,
opt,diffuse,Cytotoxic,4,0.08936825885978428,
opt,diffuse,Cytotoxic,5,0.6325581395348837,
opt,diffuse,Anti-fibrotic,1,2.411302982731554,
opt,diffuse,Anti-fibrotic,2,2.768258426966292,
opt,diffuse,Anti-fibrotic,3,2.654798761609907,
opt,diffuse,Anti-fibrotic,4,2.4499229583975346,
opt,diffuse,Anti-fibrotic,5,2.2713178294573644,
opt,diffuse,Immune,1,0.0,
opt,diffuse,Immune,2,0.19241573033707865,
opt,diffuse,Immune,3,0.0,
opt,diffuse,Immune,4,0.03389830508474576,
opt,diffuse,Immune,5,0.09612403100775194,
opt,diffuse,Cyto+Anti-fibrotic,1,0.061224489795918366,
opt,diffuse,Cyto+Anti-fibrotic,2,0.7991573033707865,
opt,diffuse,Cyto+Anti-fibrotic,3,0.0,
opt,diffuse,Cyto+Anti-fibrotic,4,0.0,
opt,diffuse,Cyto+Anti-fibrotic,5,0.4945736434108527,
opt,diffuse,Cyto+Immune,1,0.0,
opt,diffuse,Cyto+Immune,2,0.0,
opt,diffuse,Cyto+Immune,3,0.0,
opt,diffuse,Cyto+Immune,4,0.0,
opt,diffuse,Cyto+Immune,5,0.0,
inv,contained,Untreated,1,2.868217054263566,629.3369723463495
inv,contained,Untreated,2,3.888418079096045,605.955504944116
inv,contained,Untreated,3,2.8799392097264436,829.9803078083625
inv,contained,Untreated,4,3.1503067484662575,604.7048784596751
inv,contained,Untreated,5,3.125984251968504,524.1431974472051
inv,contained,Anti-fibrotic,1,2.5984496124031007,630.901595932896
inv,contained,Anti-fibrotic,2,3.690677966101695,637.9366588819973
inv,contained,Anti-fibrotic,3,3.022796352583587,734.4867456955875
inv,contained,Anti-fibrotic,4,3.125766871165644,608.2125429239334
inv,contained,Anti-fibrotic,5,2.858267716535433,970.8144980448648
inv,diffuse,Untreated,1,2.0062794348508635,615.93196824104
inv,diffuse,Untreated,2,2.6474719101123596,595.6690642846384
inv,diffuse,Untreated,3,2.456656346749226,710.0555302771826
inv,diffuse,Untreated,4,2.559322033898305,589.3909944347117
inv,diffuse,Untreated,5,1.8511627906976744,295.9830653485009
inv,diffuse,Anti-fibrotic,1,2.411302982731554,647.1418734027222
inv,diffuse,Anti-fibrotic,2,2.768258426966292,593.5878136668971
inv,diffuse,Anti-fibrotic,3,2.654798761609907,835.1030386790975
inv,diffuse,Anti-fibrotic,4,2.4499229583975346,618.4901191753564
inv,diffuse,Anti-fibrotic,5,2.2713178294573644,367.54559607558593
